source;country;query;#;gender;ethnicity;Is_foreigner;age;experience_level;is_premium;has_photo;;
viadeo;Spain;psicólogo;15;male;null;null;null;senior2-level;False;True;;
viadeo;Spain;psicólogo;16;unknown;null;True;27.0;mid-level;False;True;;
viadeo;Spain;psicólogo;17;male;null;null;null;entry-level;False;True;;
viadeo;Spain;psicólogo;18;male;null;null;null;senior2-level;False;True;;
viadeo;Spain;psicólogo;19;male;null;null;null;senior2-level;False;True;;
viadeo;Spain;profesor;0;male;null;null;58.0;senior2-level;False;True;;
viadeo;Spain;profesor;1;unknown;null;False;null;null;False;True;;
viadeo;Spain;profesor;2;male;null;null;45.0;senior2-level;False;True;;
viadeo;Spain;profesor;3;male;null;True;37.0;senior2-level;False;True;;
viadeo;Spain;profesor;4;male;null;null;38.0;senior2-level;False;True;;
viadeo;Spain;profesor;5;unknown;null;null;40.0;senior2-level;False;True;;
viadeo;Spain;profesor;6;female;null;null;35.0;senior1-level;False;True;;
viadeo;Spain;profesor;7;male;null;null;47.0;senior2-level;False;True;;
viadeo;Spain;profesor;8;male;null;null;null;senior2-level;False;True;;
viadeo;Spain;profesor;9;male;null;null;42.0;senior2-level;False;True;;
viadeo;Spain;profesor;10;male;null;null;null;senior1-level;False;True;;
viadeo;Spain;profesor;11;female;null;null;50.0;senior2-level;False;True;;
viadeo;Spain;profesor;12;female;null;null;null;senior2-level;False;True;;
viadeo;Spain;profesor;13;male;null;null;51.0;senior2-level;False;True;;
viadeo;Spain;profesor;14;male;null;null;50.0;senior2-level;False;True;;
viadeo;Spain;profesor;15;female;null;False;59.0;senior2-level;False;True;;
viadeo;Spain;profesor;16;male;null;null;48.0;senior2-level;False;True;;
viadeo;Spain;profesor;17;male;null;False;70.0;senior2-level;False;True;;
viadeo;Spain;profesor;18;male;null;null;52.0;entry-level;False;True;;
viadeo;Spain;profesor;19;male;null;null;50.0;entry-level;False;True;;
viadeo;Spain;político;0;male;null;False;null;senior2-level;False;True;;
viadeo;Spain;político;1;female;null;null;null;senior2-level;False;True;;
viadeo;Spain;político;2;female;null;null;null;entry-level;False;True;;
viadeo;Spain;político;3;male;null;null;null;entry-level;False;True;;
viadeo;Spain;político;4;male;null;null;null;null;False;True;;
viadeo;Spain;político;5;male;null;True;null;senior2-level;False;True;;
viadeo;Spain;político;6;male;null;True;38.0;senior2-level;False;True;;
viadeo;Spain;político;7;female;null;False;null;senior2-level;False;True;;
viadeo;Spain;político;8;male;null;null;null;senior2-level;False;True;;
viadeo;Spain;político;9;male;null;null;48.0;senior2-level;False;True;;
viadeo;Spain;político;10;male;null;null;54.0;senior2-level;False;True;;
viadeo;Spain;político;11;male;null;null;null;entry-level;False;True;;
viadeo;Spain;político;12;female;null;False;41.0;senior2-level;False;True;;
viadeo;Spain;político;13;male;null;False;36.0;senior2-level;False;True;;
viadeo;Spain;político;14;male;null;null;null;senior1-level;False;True;;
viadeo;Spain;político;15;male;null;null;null;senior2-level;False;True;;
viadeo;Spain;político;16;male;null;null;null;senior2-level;False;True;;
viadeo;Spain;político;17;male;null;null;null;entry-level;False;True;;
viadeo;Spain;político;18;male;null;null;null;entry-level;False;True;;
viadeo;Spain;político;19;male;null;null;null;senior2-level;False;True;;
viadeo;Spain;policía;0;male;null;null;null;senior2-level;False;True;;
viadeo;Spain;policía;1;female;null;null;null;mid-level;False;True;;
viadeo;Spain;policía;2;male;null;null;null;entry-level;False;True;;
viadeo;Spain;policía;3;male;null;null;null;senior2-level;False;True;;
viadeo;Spain;policía;4;male;null;null;null;senior2-level;False;True;;
viadeo;Spain;policía;5;male;null;null;null;senior2-level;False;True;;
