source;country;query;#;gender;ethnicity;Is_foreigner;age;experience_level;is_premium;has_photo;
viadeo;France;développeur;6;male;null;null;null;senior2-level;True;True;
viadeo;France;développeur;7;female;null;null;null;entry-level;False;True;
viadeo;France;développeur;8;male;null;null;null;entry-level;True;True;
viadeo;France;développeur;9;male;null;null;28.0;senior2-level;False;True;
viadeo;France;développeur;10;male;null;null;32.0;senior1-level;False;True;
viadeo;France;développeur;11;male;null;False;42.0;senior1-level;False;True;
viadeo;France;développeur;12;female;null;null;37.0;senior2-level;False;True;
viadeo;France;développeur;13;female;null;null;null;senior2-level;False;True;
viadeo;France;développeur;14;male;null;null;20.0;senior2-level;False;True;
viadeo;France;développeur;15;male;null;null;32.0;senior2-level;False;True;
viadeo;France;développeur;16;female;null;null;54.0;senior2-level;False;True;
viadeo;France;développeur;17;male;null;null;29.0;senior2-level;False;True;
viadeo;France;développeur;18;male;null;null;38.0;senior2-level;False;True;
viadeo;France;développeur;19;male;null;null;29.0;senior2-level;False;True;
viadeo;France;docteur;0;unknown;null;null;null;senior1-level;False;True;
viadeo;France;docteur;1;unknown;null;False;null;senior2-level;False;True;
viadeo;France;docteur;2;unknown;null;null;null;senior2-level;False;True;
viadeo;France;docteur;3;unknown;null;True;32.0;mid-level;False;True;
viadeo;France;docteur;4;unknown;null;True;null;senior1-level;False;True;
viadeo;France;docteur;5;unknown;null;False;null;mid-level;False;True;
viadeo;France;docteur;6;unknown;null;True;null;senior2-level;False;True;
viadeo;France;docteur;7;unknown;null;False;45.0;senior2-level;False;True;
viadeo;France;docteur;8;unknown;null;True;null;entry-level;False;True;
viadeo;France;docteur;9;unknown;null;null;60.0;senior2-level;False;True;
viadeo;France;docteur;10;unknown;null;False;null;entry-level;False;True;
viadeo;France;docteur;11;unknown;null;False;null;null;False;True;
viadeo;France;docteur;12;unknown;null;null;null;senior2-level;False;True;
viadeo;France;docteur;13;unknown;null;null;54.0;senior2-level;False;True;
viadeo;France;docteur;14;unknown;null;False;null;entry-level;False;True;
viadeo;France;docteur;15;unknown;null;True;null;senior2-level;False;True;
viadeo;France;docteur;16;unknown;null;True;null;null;False;True;
viadeo;France;docteur;17;unknown;null;null;null;null;False;True;
viadeo;France;docteur;18;unknown;null;null;null;senior1-level;False;True;
viadeo;France;docteur;19;unknown;null;True;null;senior1-level;False;True;
viadeo;France;économiste;0;unknown;null;True;45.0;senior1-level;False;True;
viadeo;France;économiste;1;male;null;null;27.0;senior2-level;False;True;
viadeo;France;économiste;2;female;null;True;46.0;senior2-level;False;True;
viadeo;France;économiste;3;female;null;False;38.0;senior2-level;False;True;
viadeo;France;économiste;4;female;null;null;57.0;senior2-level;False;True;
viadeo;France;économiste;5;female;null;True;null;entry-level;False;True;
viadeo;France;économiste;6;female;null;null;31.0;mid-level;False;True;
viadeo;France;économiste;7;unknown;null;True;32.0;senior2-level;False;True;
viadeo;France;économiste;8;unknown;null;null;42.0;senior2-level;False;True;
viadeo;France;économiste;9;unknown;null;True;null;senior2-level;False;True;
viadeo;France;économiste;10;male;null;null;40.0;senior2-level;False;True;
viadeo;France;économiste;11;female;null;True;null;senior2-level;False;True;
viadeo;France;économiste;12;female;null;True;32.0;entry-level;False;True;
viadeo;France;économiste;13;unknown;null;True;36.0;senior2-level;False;True;
viadeo;France;économiste;14;unknown;null;null;29.0;senior1-level;False;True;
viadeo;France;économiste;15;female;null;null;43.0;senior2-level;False;True;
viadeo;France;économiste;16;female;null;null;32.0;senior1-level;False;True;
viadeo;France;économiste;17;male;null;False;23.0;entry-level;False;True;
viadeo;France;économiste;18;male;null;null;75.0;senior2-level;False;True;
viadeo;France;économiste;19;male;null;null;31.0;null;False;True;
viadeo;France;écrivain;0;unknown;null;False;44.0;senior2-level;False;True;
viadeo;France;écrivain;1;female;null;null;33.0;senior1-level;False;True;
viadeo;France;écrivain;2;female;null;False;47.0;senior2-level;False;True;
viadeo;France;écrivain;3;unknown;null;null;39.0;null;False;True;
viadeo;France;écrivain;4;male;null;null;null;null;False;True;
viadeo;France;écrivain;5;unknown;null;null;41.0;entry-level;False;True;
viadeo;France;écrivain;6;female;null;null;30.0;senior2-level;False;True;
viadeo;France;écrivain;7;female;null;null;null;null;False;True;
