source;country;query;#;gender;ethnicity;Is_foreigner;age;experience_level;is_premium;has_photo
linkedin;United Kigndom;economist;4;female;null;False;28.0;senior1-level;False;False
linkedin;United Kigndom;economist;5;male;null;True;33.0;senior2-level;False;False
linkedin;United Kigndom;economist;6;female;null;False;26.0;mid-level;False;True
linkedin;United Kigndom;economist;7;female;null;True;35.0;senior2-level;False;True
linkedin;United Kigndom;economist;8;male;null;False;30.0;senior2-level;False;True
linkedin;United Kigndom;economist;9;male;null;False;27.0;mid-level;False;False
linkedin;United Kigndom;economist;10;female;null;False;34.0;senior2-level;False;False
linkedin;United Kigndom;economist;11;male;null;False;29.0;senior1-level;False;False
linkedin;United Kigndom;economist;12;female;null;True;null;senior1-level;False;False
linkedin;United Kigndom;economist;13;male;null;False;26.0;senior1-level;False;True
linkedin;United Kigndom;economist;14;female;null;False;33.0;senior2-level;False;True
linkedin;United Kigndom;economist;15;male;null;False;38.0;senior2-level;False;False
linkedin;United Kigndom;economist;16;male;null;False;51.0;senior2-level;False;False
linkedin;United Kigndom;economist;17;male;null;True;35.0;senior2-level;False;False
linkedin;United Kigndom;economist;18;male;null;False;null;senior2-level;False;True
linkedin;United Kigndom;economist;19;male;null;False;25.0;mid-level;False;False
linkedin;United Kigndom;economist;20;male;null;False;32.0;senior2-level;False;True
linkedin;United Kigndom;economist;21;female;null;True;26.0;senior1-level;False;True
linkedin;United Kigndom;economist;22;male;null;True;20.0;mid-level;False;True
linkedin;United Kigndom;economist;23;male;null;True;40.0;senior2-level;False;False
linkedin;United Kigndom;economist;24;male;null;True;null;senior2-level;False;False
linkedin;United Kigndom;engineer;0;male;null;False;null;senior2-level;False;False
linkedin;United Kigndom;engineer;1;male;null;False;29.0;mid-level;False;True
linkedin;United Kigndom;engineer;2;male;null;True;29.0;senior1-level;False;False
linkedin;United Kigndom;engineer;3;male;null;True;26.0;entry-level;False;True
linkedin;United Kigndom;engineer;4;unknown;null;False;48.0;senior2-level;False;True
linkedin;United Kigndom;engineer;5;male;null;False;null;senior2-level;False;False
linkedin;United Kigndom;engineer;6;male;null;False;30.0;senior2-level;False;True
linkedin;United Kigndom;engineer;7;female;null;True;24.0;mid-level;False;True
linkedin;United Kigndom;engineer;8;male;null;False;24.0;mid-level;False;True
linkedin;United Kigndom;engineer;9;female;null;True;null;senior2-level;False;True
linkedin;United Kigndom;engineer;10;female;null;True;29.0;senior1-level;True;True
linkedin;United Kigndom;engineer;11;male;null;True;31.0;senior1-level;False;False
linkedin;United Kigndom;engineer;12;male;null;True;28.0;senior1-level;False;False
linkedin;United Kigndom;engineer;13;unknown;null;True;30.0;senior1-level;False;False
linkedin;United Kigndom;engineer;14;female;null;False;null;senior1-level;False;True
linkedin;United Kigndom;engineer;15;female;null;True;null;senior1-level;False;False
linkedin;United Kigndom;engineer;16;female;null;True;30.0;mid-level;False;True
linkedin;United Kigndom;engineer;17;male;null;False;41.0;senior2-level;False;True
linkedin;United Kigndom;engineer;18;female;null;False;44.0;senior2-level;False;True
linkedin;United Kigndom;engineer;19;female;null;True;28.0;senior2-level;False;True
linkedin;United Kigndom;engineer;20;male;null;True;25.0;mid-level;False;True
linkedin;United Kigndom;engineer;21;male;null;False;null;mid-level;False;True
linkedin;United Kigndom;engineer;22;male;null;True;24.0;entry-level;False;True
linkedin;United Kigndom;engineer;23;male;null;True;37.0;senior1-level;False;False
linkedin;United Kigndom;engineer;24;female;null;True;28.0;senior1-level;False;True
linkedin;United Kigndom;firefighter;0;female;null;False;24.0;senior2-level;False;True
linkedin;United Kigndom;firefighter;1;male;null;False;null;entry-level;False;False
linkedin;United Kigndom;firefighter;2;male;null;False;23.0;entry-level;False;False
linkedin;United Kigndom;firefighter;3;female;null;False;36.0;senior2-level;False;True
linkedin;United Kigndom;firefighter;4;female;null;False;null;senior2-level;False;True
linkedin;United Kigndom;firefighter;5;male;null;False;null;senior1-level;False;True
linkedin;United Kigndom;firefighter;6;male;null;False;32.0;mid-level;False;False
linkedin;United Kigndom;firefighter;7;unknown;null;False;38.0;entry-level;False;True
linkedin;United Kigndom;firefighter;8;male;null;False;30.0;senior2-level;False;False
linkedin;United Kigndom;firefighter;9;male;null;False;null;senior2-level;False;False
linkedin;United Kigndom;firefighter;10;male;null;False;null;senior2-level;False;False
linkedin;United Kigndom;firefighter;11;male;null;False;null;senior2-level;False;False
linkedin;United Kigndom;firefighter;12;male;null;True;null;senior2-level;False;False
linkedin;United Kigndom;firefighter;13;male;null;False;38.0;senior2-level;False;False
linkedin;United Kigndom;firefighter;14;male;null;False;42.0;senior2-level;False;False
linkedin;United Kigndom;firefighter;15;female;null;False;44.0;senior2-level;False;False
linkedin;United Kigndom;firefighter;16;male;null;False;34.0;mid-level;False;True
linkedin;United Kigndom;firefighter;17;male;null;False;null;mid-level;False;False
linkedin;United Kigndom;firefighter;18;female;null;False;24.0;senior2-level;False;False
linkedin;United Kigndom;firefighter;19;male;null;False;22.0;entry-level;False;True
linkedin;United Kigndom;firefighter;20;female;null;False;null;senior2-level;False;True
linkedin;United Kigndom;firefighter;21;male;null;False;50.0;senior2-level;False;False
linkedin;United Kigndom;firefighter;22;male;null;False;58.0;senior2-level;False;False
linkedin;United Kigndom;firefighter;23;male;null;False;null;senior2-level;False;False
linkedin;United Kigndom;firefighter;24;male;null;False;47.0;senior1-level;False;True
linkedin;United Kigndom;gardener;0;male;null;null;60.0;mid-level;False;False
linkedin;United Kigndom;gardener;1;male;null;null;null;senior1-level;False;False
linkedin;United Kigndom;gardener;2;unknown;null;null;42.0;senior1-level;False;True
linkedin;United Kigndom;gardener;3;male;null;null;39.0;senior2-level;False;False
linkedin;United Kigndom;gardener;4;male;null;null;null;entry-level;False;False
linkedin;United Kigndom;gardener;5;male;null;null;68.0;senior2-level;False;True
linkedin;United Kigndom;gardener;6;male;null;null;40.0;senior1-level;False;True
linkedin;United Kigndom;gardener;7;female;null;null;null;senior2-level;False;False
linkedin;United Kigndom;gardener;8;male;null;null;null;entry-level;False;True
linkedin;United Kigndom;gardener;9;male;null;null;null;mid-level;True;False
linkedin;United Kigndom;gardener;10;male;null;null;26.0;mid-level;False;True
linkedin;United Kigndom;gardener;11;male;null;null;26.0;senior2-level;False;True
linkedin;United Kigndom;gardener;12;male;null;null;27.0;senior2-level;False;True
linkedin;United Kigndom;gardener;13;male;null;null;24.0;mid-level;False;False
linkedin;United Kigndom;gardener;14;male;null;null;23.0;entry-level;False;False
linkedin;United Kigndom;gardener;15;female;null;null;27.0;senior1-level;False;False
linkedin;United Kigndom;gardener;16;unknown;null;null;42.0;mid-level;False;True
linkedin;United Kigndom;gardener;17;female;null;null;35.0;senior2-level;False;False
linkedin;United Kigndom;gardener;18;female;null;null;45.0;senior2-level;False;False
linkedin;United Kigndom;gardener;19;male;null;null;null;entry-level;False;True
linkedin;United Kigndom;gardener;20;female;null;null;null;senior2-level;False;True
linkedin;United Kigndom;gardener;21;male;null;null;44.0;senior2-level;False;False
linkedin;United Kigndom;gardener;22;female;null;null;29.0;mid-level;False;False
linkedin;United Kigndom;gardener;23;male;null;null;37.0;senior2-level;False;False
linkedin;United Kigndom;gardener;24;male;null;null;null;entry-level;False;True
linkedin;United Kigndom;hairdresser;0;female;null;null;null;senior2-level;False;False
linkedin;United Kigndom;hairdresser;1;female;null;null;null;senior2-level;False;False
linkedin;United Kigndom;hairdresser;2;female;null;null;null;mid-level;False;False
linkedin;United Kigndom;hairdresser;3;unknown;null;null;26.0;senior2-level;False;False
linkedin;United Kigndom;hairdresser;4;female;null;null;27.0;senior2-level;False;False
linkedin;United Kigndom;hairdresser;5;female;null;null;24.0;mid-level;False;False
linkedin;United Kigndom;hairdresser;6;male;null;null;null;mid-level;False;False
linkedin;United Kigndom;hairdresser;7;female;null;null;null;senior2-level;False;False
linkedin;United Kigndom;hairdresser;8;male;null;null;33.0;senior2-level;False;True
linkedin;United Kigndom;hairdresser;9;female;null;null;null;senior2-level;False;False
linkedin;United Kigndom;hairdresser;10;female;null;null;41.0;senior2-level;False;False
linkedin;United Kigndom;hairdresser;11;female;null;null;25.0;senior1-level;False;True
linkedin;United Kigndom;hairdresser;12;female;null;null;34.0;senior2-level;False;False
linkedin;United Kigndom;hairdresser;13;female;null;null;38.0;senior2-level;False;False
linkedin;United Kigndom;hairdresser;14;male;null;null;null;senior2-level;False;False
linkedin;United Kigndom;hairdresser;15;male;null;null;36.0;senior2-level;False;False
linkedin;United Kigndom;hairdresser;16;unknown;null;null;null;null;False;False
linkedin;United Kigndom;hairdresser;17;female;null;null;27.0;senior1-level;False;False
linkedin;United Kigndom;hairdresser;18;male;null;null;null;entry-level;False;False
linkedin;United Kigndom;hairdresser;19;unknown;null;null;null;senior1-level;False;False
linkedin;United Kigndom;hairdresser;20;male;null;null;null;senior2-level;False;False
linkedin;United Kigndom;hairdresser;21;female;null;null;null;senior2-level;False;True
linkedin;United Kigndom;hairdresser;22;male;null;null;36.0;senior2-level;False;True
linkedin;United Kigndom;hairdresser;23;female;null;null;null;entry-level;False;False
linkedin;United Kigndom;hairdresser;24;female;null;null;null;senior2-level;False;False
