source;country;query;#;gender;ethnicity;Is_foreigner;age;experience_level;is_premium;has_photo;
viadeo;France;secrétaire;16;female;nan;False;36.0;amateur-level;False;True;
viadeo;France;radiographe;0;unknown;nan;None;60.0;senior-level;False;True;
viadeo;France;radiographe;1;female;nan;None;nan;amateur-level;False;True;
viadeo;France;radiographe;2;female;nan;True;nan;amateur-level;False;True;
viadeo;France;radiographe;3;male;nan;None;nan;senior-level;False;True;
viadeo;France;radiographe;4;female;nan;None;26.0;amateur-level;False;True;
viadeo;France;radiographe;5;male;nan;False;nan;amateur-level;False;True;
viadeo;France;radiographe;6;male;nan;None;nan;amateur-level;False;True;
viadeo;France;radiographe;7;male;nan;False;37.0;amateur-level;False;True;
viadeo;France;radiographe;8;female;nan;None;34.0;amateur-level;False;True;
viadeo;France;radiographe;9;male;nan;None;nan;senior-level;False;True;
viadeo;France;kinésithérapeute;0;unknown;nan;True;nan;amateur-level;False;True;
viadeo;France;kinésithérapeute;1;unknown;nan;False;31.0;amateur-level;False;True;
viadeo;France;kinésithérapeute;2;female;nan;None;nan;amateur-level;False;True;
viadeo;France;kinésithérapeute;3;male;nan;None;37.0;amateur-level;False;True;
viadeo;France;kinésithérapeute;4;male;nan;False;30.0;mid-level;False;True;
viadeo;France;kinésithérapeute;5;female;nan;True;42.0;amateur-level;False;True;
viadeo;France;kinésithérapeute;6;male;nan;False;43.0;amateur-level;False;True;
viadeo;France;kinésithérapeute;7;unknown;nan;None;32.0;amateur-level;False;True;
viadeo;France;kinésithérapeute;8;female;nan;None;36.0;amateur-level;False;True;
viadeo;France;kinésithérapeute;9;male;nan;None;29.0;senior-level;False;True;
viadeo;France;kinésithérapeute;10;male;nan;None;56.0;entry-level;False;True;
viadeo;France;kinésithérapeute;11;female;nan;None;44.0;amateur-level;False;True;
viadeo;France;kinésithérapeute;12;male;nan;False;30.0;senior-level;False;True;
viadeo;France;kinésithérapeute;13;female;nan;None;54.0;amateur-level;False;True;
viadeo;France;kinésithérapeute;14;female;nan;True;56.0;amateur-level;False;True;
viadeo;France;kinésithérapeute;15;female;nan;None;28.0;entry-level;False;True;
viadeo;France;kinésithérapeute;16;female;nan;False;57.0;amateur-level;False;True;
viadeo;France;kinésithérapeute;17;female;nan;None;33.0;amateur-level;False;True;
viadeo;France;kinésithérapeute;18;male;nan;False;37.0;entry-level;False;True;
viadeo;France;kinésithérapeute;19;male;nan;False;36.0;amateur-level;False;True;
viadeo;France;dentiste;0;unknown;nan;None;nan;mid-level;False;True;
viadeo;France;dentiste;1;unknown;nan;False;50.0;amateur-level;False;True;
viadeo;France;dentiste;2;unknown;nan;True;nan;None;False;True;
viadeo;France;dentiste;3;unknown;nan;True;nan;mid-level;False;True;
viadeo;France;dentiste;4;unknown;nan;None;nan;None;False;True;
viadeo;France;dentiste;5;male;nan;None;54.0;amateur-level;False;True;
viadeo;France;dentiste;6;unknown;nan;None;nan;entry-level;False;True;
viadeo;France;dentiste;7;female;nan;None;50.0;amateur-level;False;True;
viadeo;France;dentiste;8;female;nan;None;nan;entry-level;False;True;
viadeo;France;dentiste;9;male;nan;None;39.0;amateur-level;False;True;
viadeo;France;dentiste;10;male;nan;None;nan;amateur-level;False;True;
viadeo;France;dentiste;11;female;nan;False;56.0;amateur-level;False;True;
viadeo;France;dentiste;12;male;nan;None;nan;amateur-level;False;True;
viadeo;France;dentiste;13;male;nan;None;62.0;amateur-level;False;True;
viadeo;France;dentiste;14;male;nan;None;60.0;amateur-level;False;True;
viadeo;France;dentiste;15;male;nan;None;nan;amateur-level;False;True;
viadeo;France;dentiste;16;female;nan;None;52.0;amateur-level;False;True;
viadeo;France;dentiste;17;male;nan;None;nan;amateur-level;False;True;
viadeo;France;dentiste;18;male;nan;True;32.0;mid-level;False;True;
viadeo;France;dentiste;19;male;nan;None;nan;amateur-level;False;True;
viadeo;France;mécanique;0;male;nan;None;53.0;entry-level;False;True;
viadeo;France;mécanique;1;male;nan;None;43.0;amateur-level;False;True;
viadeo;France;mécanique;2;male;nan;None;nan;amateur-level;False;True;
viadeo;France;mécanique;3;unknown;nan;None;nan;amateur-level;False;True;
viadeo;France;mécanique;4;male;nan;None;37.0;entry-level;False;True;
viadeo;France;mécanique;5;male;nan;False;40.0;amateur-level;False;True;
viadeo;France;mécanique;6;male;nan;None;nan;amateur-level;False;True;
viadeo;France;mécanique;7;unknown;nan;True;61.0;amateur-level;True;True;
viadeo;France;mécanique;8;male;nan;None;30.0;senior-level;False;True;
viadeo;France;mécanique;9;female;nan;None;32.0;senior-level;False;True;
viadeo;France;mécanique;10;male;nan;None;39.0;amateur-level;False;True;
viadeo;France;mécanique;11;male;nan;None;nan;amateur-level;False;True;
viadeo;France;mécanique;12;male;nan;None;59.0;amateur-level;False;True;
viadeo;France;mécanique;13;male;nan;None;30.0;amateur-level;False;True;
viadeo;France;mécanique;14;male;nan;None;36.0;amateur-level;False;True;
viadeo;France;mécanique;15;male;nan;None;37.0;amateur-level;False;True;
viadeo;France;mécanique;16;male;nan;None;29.0;senior-level;False;True;
viadeo;France;mécanique;17;male;nan;None;36.0;amateur-level;False;True;
viadeo;France;mécanique;18;male;nan;None;37.0;amateur-level;False;True;
viadeo;France;scientifique;0;unknown;nan;True;nan;amateur-level;False;True;
viadeo;France;scientifique;1;unknown;nan;True;nan;amateur-level;False;True;
viadeo;France;scientifique;2;unknown;nan;True;nan;amateur-level;False;True;
viadeo;France;scientifique;3;male;nan;None;36.0;amateur-level;False;True;
viadeo;France;scientifique;4;unknown;nan;True;40.0;amateur-level;False;True;
viadeo;France;scientifique;5;female;nan;None;27.0;mid-level;False;True;
viadeo;France;scientifique;6;male;nan;None;31.0;senior-level;False;True;
viadeo;France;scientifique;7;female;nan;None;nan;amateur-level;False;True;
viadeo;France;scientifique;8;female;nan;None;30.0;mid-level;False;True;
viadeo;France;scientifique;9;female;nan;None;46.0;amateur-level;False;True;
viadeo;France;scientifique;10;female;nan;None;31.0;amateur-level;False;True;
viadeo;France;scientifique;11;unknown;nan;True;nan;senior-level;False;True;
viadeo;France;scientifique;12;female;nan;False;30.0;entry-level;False;True;
viadeo;France;scientifique;13;male;nan;None;nan;amateur-level;False;True;
viadeo;France;scientifique;14;male;nan;None;44.0;amateur-level;False;True;
viadeo;France;scientifique;15;female;nan;None;nan;amateur-level;False;True;
viadeo;France;scientifique;16;male;nan;None;nan;amateur-level;False;True;
viadeo;France;scientifique;17;unknown;nan;None;44.0;amateur-level;False;True;
viadeo;France;cuisinier;0;unknown;nan;False;36.0;amateur-level;False;True;
viadeo;France;cuisinier;1;unknown;nan;True;23.0;senior-level;False;True;
viadeo;France;cuisinier;2;unknown;nan;True;55.0;amateur-level;False;True;
viadeo;France;cuisinier;3;unknown;nan;False;nan;entry-level;False;True;
viadeo;France;cuisinier;4;unknown;nan;False;30.0;amateur-level;False;True;
viadeo;France;cuisinier;5;unknown;nan;False;30.0;None;False;True;
viadeo;France;cuisinier;6;unknown;nan;False;nan;None;False;True;
viadeo;France;cuisinier;7;unknown;nan;True;nan;None;False;True;
viadeo;France;cuisinier;8;female;nan;None;45.0;amateur-level;False;True;
viadeo;France;cuisinier;9;female;nan;None;50.0;amateur-level;False;True;
viadeo;France;cuisinier;10;female;nan;None;60.0;amateur-level;False;True;
viadeo;France;cuisinier;11;female;nan;None;41.0;amateur-level;False;True;
viadeo;France;cuisinier;12;male;nan;None;45.0;amateur-level;False;True;
viadeo;France;cuisinier;13;female;nan;None;34.0;amateur-level;False;True;
viadeo;France;cuisinier;14;male;nan;False;nan;amateur-level;False;True;
viadeo;France;cuisinier;15;female;nan;None;nan;amateur-level;False;True;
viadeo;France;cuisinier;16;male;nan;None;nan;amateur-level;False;True;
viadeo;France;cuisinier;17;female;nan;None;30.0;senior-level;False;True;
viadeo;France;cuisinier;18;male;nan;None;35.0;amateur-level;False;True;
viadeo;France;cuisinier;19;male;nan;None;33.0;amateur-level;False;True;
viadeo;France;architecte;0;unknown;nan;True;nan;amateur-level;False;True;
viadeo;France;architecte;1;male;nan;None;39.0;amateur-level;False;True;
viadeo;France;architecte;2;male;nan;None;59.0;amateur-level;False;True;
viadeo;France;architecte;3;unknown;nan;None;39.0;amateur-level;False;True;
viadeo;France;architecte;4;female;nan;None;56.0;amateur-level;False;True;
viadeo;France;architecte;5;male;nan;None;34.0;amateur-level;False;True;
viadeo;France;architecte;6;male;nan;None;50.0;amateur-level;False;True;
viadeo;France;architecte;7;female;nan;None;29.0;amateur-level;False;True;
viadeo;France;architecte;8;female;nan;False;33.0;amateur-level;False;True;
viadeo;France;architecte;9;male;nan;None;nan;amateur-level;False;True;
viadeo;France;architecte;10;male;nan;True;37.0;mid-level;False;True;
viadeo;France;architecte;11;female;nan;None;54.0;amateur-level;False;True;
viadeo;France;architecte;12;male;nan;False;61.0;amateur-level;False;True;
viadeo;France;architecte;13;male;nan;False;44.0;amateur-level;False;True;
viadeo;France;architecte;14;female;nan;False;36.0;amateur-level;False;True;
viadeo;France;architecte;15;male;nan;None;nan;amateur-level;False;True;
viadeo;France;architecte;16;male;nan;True;57.0;amateur-level;False;True;
viadeo;France;architecte;17;female;nan;True;37.0;amateur-level;False;True;
viadeo;France;architecte;18;female;nan;None;36.0;amateur-level;False;True;
viadeo;France;architecte;19;unknown;nan;True;64.0;None;False;True;
viadeo;France;musicien;0;unknown;nan;True;63.0;amateur-level;False;True;
viadeo;France;musicien;1;male;nan;False;49.0;mid-level;False;True;
viadeo;France;musicien;2;male;nan;None;nan;None;False;True;
viadeo;France;musicien;3;unknown;nan;False;nan;None;False;True;
viadeo;France;musicien;4;male;nan;None;nan;None;False;True;
viadeo;France;musicien;5;unknown;nan;None;nan;mid-level;False;True;
viadeo;France;musicien;6;male;nan;None;45.0;amateur-level;False;True;
viadeo;France;musicien;7;male;nan;None;nan;entry-level;False;True;
viadeo;France;musicien;8;unknown;nan;False;nan;amateur-level;False;True;
viadeo;France;musicien;9;male;nan;None;63.0;senior-level;False;True;
viadeo;France;musicien;10;male;nan;None;58.0;amateur-level;False;True;
viadeo;France;musicien;11;unknown;nan;False;nan;entry-level;False;True;
viadeo;France;musicien;12;male;nan;True;32.0;amateur-level;False;True;
viadeo;France;musicien;13;unknown;nan;None;32.0;senior-level;False;True;
viadeo;France;musicien;14;male;nan;True;nan;amateur-level;False;True;
viadeo;France;musicien;15;male;nan;None;51.0;entry-level;False;True;
viadeo;France;musicien;16;female;nan;None;nan;amateur-level;False;True;
