source;country;query;#;gender;ethnicity;Is_foreigner;age;experience_level;is_premium;has_photo
linkedin;France;jardinier;9;male;null;null;null;senior1-level;False;True
linkedin;France;jardinier;10;male;null;null;null;mid-level;False;False
linkedin;France;jardinier;11;male;null;null;null;senior2-level;False;True
linkedin;France;jardinier;12;male;null;null;34.0;senior2-level;False;False
linkedin;France;jardinier;13;male;null;null;33.0;senior2-level;False;True
linkedin;France;jardinier;14;male;null;null;24.0;entry-level;False;True
linkedin;France;jardinier;15;male;null;null;null;entry-level;False;True
linkedin;France;jardinier;16;unknown;null;null;29.0;mid-level;False;True
linkedin;France;jardinier;17;male;null;null;32.0;senior2-level;False;False
linkedin;France;jardinier;18;male;null;null;33.0;senior1-level;False;True
linkedin;France;jardinier;19;unknown;null;False;null;senior2-level;False;False
linkedin;France;jardinier;20;male;null;null;null;mid-level;False;False
linkedin;France;jardinier;21;male;null;null;28.0;mid-level;False;True
linkedin;France;jardinier;22;male;null;null;25.0;mid-level;False;False
linkedin;France;jardinier;23;male;null;null;40.0;senior2-level;False;True
linkedin;France;jardinier;24;female;null;null;37.0;senior1-level;False;False
linkedin;France;journaliste;0;female;null;True;null;senior2-level;False;False
linkedin;France;journaliste;1;male;null;null;null;senior2-level;True;False
linkedin;France;journaliste;2;female;null;null;47.0;senior2-level;False;False
linkedin;France;journaliste;3;male;null;null;null;senior2-level;False;False
linkedin;France;journaliste;4;female;null;null;31.0;senior2-level;False;True
linkedin;France;journaliste;5;male;null;null;49.0;senior2-level;False;True
linkedin;France;journaliste;6;female;null;null;54.0;senior2-level;False;False
linkedin;France;journaliste;7;female;null;True;34.0;senior2-level;False;True
linkedin;France;journaliste;8;female;null;null;57.0;senior2-level;False;False
linkedin;France;journaliste;9;female;null;null;null;senior2-level;False;True
linkedin;France;journaliste;10;female;null;null;null;senior2-level;False;False
linkedin;France;journaliste;11;female;null;True;32.0;senior1-level;False;True
linkedin;France;journaliste;12;female;null;null;58.0;senior2-level;False;False
linkedin;France;journaliste;13;female;null;True;24.0;entry-level;False;False
linkedin;France;journaliste;14;male;null;False;null;mid-level;False;False
linkedin;France;journaliste;15;female;null;True;null;senior2-level;False;False
linkedin;France;journaliste;16;female;null;null;null;entry-level;False;False
linkedin;France;journaliste;17;unknown;null;null;44.0;senior2-level;False;True
linkedin;France;journaliste;18;female;null;True;28.0;senior1-level;False;True
linkedin;France;journaliste;19;female;null;null;null;senior2-level;False;False
linkedin;France;journaliste;20;female;null;null;null;senior2-level;False;True
linkedin;France;journaliste;21;female;null;null;null;senior2-level;False;False
linkedin;France;journaliste;22;male;null;null;36.0;senior2-level;False;True
linkedin;France;journaliste;23;female;null;True;null;senior2-level;False;True
linkedin;France;journaliste;24;male;null;null;null;senior2-level;False;False
linkedin;France;kinésithérapeute;0;male;null;null;26.0;entry-level;False;False
linkedin;France;kinésithérapeute;1;male;null;null;27.0;senior1-level;True;False
linkedin;France;kinésithérapeute;2;male;null;null;33.0;senior2-level;False;True
linkedin;France;kinésithérapeute;3;unknown;null;False;null;senior1-level;False;False
linkedin;France;kinésithérapeute;4;unknown;null;True;null;senior2-level;False;False
linkedin;France;kinésithérapeute;5;male;null;null;35.0;senior1-level;False;False
linkedin;France;kinésithérapeute;6;unknown;null;null;null;senior2-level;False;True
linkedin;France;kinésithérapeute;7;unknown;null;False;40.0;senior2-level;False;True
linkedin;France;kinésithérapeute;8;male;null;null;null;mid-level;False;True
linkedin;France;kinésithérapeute;9;male;null;null;40.0;senior2-level;False;False
linkedin;France;kinésithérapeute;10;female;null;null;21.0;senior2-level;False;True
linkedin;France;kinésithérapeute;11;female;null;null;null;entry-level;False;True
linkedin;France;kinésithérapeute;12;male;null;True;22.0;senior2-level;False;True
linkedin;France;kinésithérapeute;13;male;null;null;null;senior1-level;False;False
linkedin;France;kinésithérapeute;14;male;null;True;39.0;senior2-level;False;False
linkedin;France;kinésithérapeute;15;female;null;True;31.0;senior2-level;False;True
linkedin;France;kinésithérapeute;16;male;null;null;23.0;senior2-level;False;False
linkedin;France;kinésithérapeute;17;male;null;False;28.0;mid-level;False;True
linkedin;France;kinésithérapeute;18;male;null;null;22.0;senior1-level;False;True
linkedin;France;kinésithérapeute;19;unknown;null;null;31.0;senior1-level;False;False
linkedin;France;kinésithérapeute;20;female;null;False;25.0;entry-level;False;True
linkedin;France;kinésithérapeute;21;male;null;null;30.0;senior1-level;False;True
linkedin;France;kinésithérapeute;22;male;null;null;28.0;senior1-level;False;False
linkedin;France;kinésithérapeute;23;unknown;null;True;31.0;senior1-level;False;False
linkedin;France;kinésithérapeute;24;female;null;null;22.0;senior2-level;True;True
linkedin;France;libraire;0;female;null;True;36.0;senior1-level;False;False
linkedin;France;libraire;1;female;null;null;23.0;entry-level;False;True
linkedin;France;libraire;2;female;null;null;28.0;mid-level;False;False
linkedin;France;libraire;3;unknown;null;null;null;entry-level;False;True
linkedin;France;libraire;4;female;null;null;43.0;senior2-level;False;False
linkedin;France;libraire;5;unknown;null;False;null;entry-level;False;False
linkedin;France;libraire;6;female;null;null;null;mid-level;True;True
linkedin;France;libraire;7;female;null;null;27.0;mid-level;False;True
linkedin;France;libraire;8;female;null;True;22.0;senior2-level;False;False
linkedin;France;libraire;9;female;null;False;40.0;senior2-level;False;False
linkedin;France;libraire;10;female;null;null;33.0;senior2-level;False;True
linkedin;France;libraire;11;female;null;null;28.0;mid-level;False;True
linkedin;France;libraire;12;female;null;null;27.0;entry-level;False;False
linkedin;France;libraire;13;female;null;null;36.0;senior2-level;False;False
linkedin;France;libraire;14;female;null;True;null;senior2-level;False;False
linkedin;France;libraire;15;female;null;null;40.0;senior2-level;False;False
linkedin;France;libraire;16;female;null;null;29.0;mid-level;False;True
linkedin;France;libraire;17;unknown;null;null;27.0;senior1-level;False;True
linkedin;France;libraire;18;male;null;null;null;senior2-level;False;False
linkedin;France;libraire;19;male;null;null;37.0;senior2-level;False;True
linkedin;France;libraire;20;female;null;null;33.0;senior1-level;False;True
linkedin;France;libraire;21;male;null;True;45.0;senior2-level;False;False
linkedin;France;libraire;22;female;null;False;21.0;mid-level;False;False
linkedin;France;libraire;23;female;null;True;26.0;senior1-level;False;True
linkedin;France;libraire;24;female;null;null;24.0;mid-level;False;False
linkedin;France;musicien;0;female;null;True;null;entry-level;False;False
linkedin;France;musicien;1;male;null;null;63.0;senior2-level;False;False
linkedin;France;musicien;2;female;null;False;null;entry-level;False;True
linkedin;France;musicien;3;male;null;null;null;senior2-level;False;True
linkedin;France;musicien;4;unknown;null;True;null;senior2-level;False;True
linkedin;France;musicien;5;male;null;null;55.0;senior2-level;False;False
linkedin;France;musicien;6;unknown;null;True;null;entry-level;False;False
linkedin;France;musicien;7;male;null;null;22.0;senior2-level;False;False
linkedin;France;musicien;8;male;null;True;null;senior2-level;False;True
linkedin;France;musicien;9;male;null;null;null;senior2-level;False;False
linkedin;France;musicien;10;unknown;null;True;null;entry-level;False;True
linkedin;France;musicien;11;female;null;null;null;mid-level;False;True
linkedin;France;musicien;12;male;null;True;38.0;entry-level;False;True
linkedin;France;musicien;13;male;null;True;null;senior2-level;False;False
linkedin;France;musicien;14;unknown;null;True;null;senior2-level;False;True
linkedin;France;musicien;15;male;null;null;35.0;senior2-level;False;True
linkedin;France;musicien;16;unknown;null;True;62.0;senior2-level;False;True
linkedin;France;musicien;17;female;null;null;null;senior2-level;False;True
linkedin;France;musicien;18;male;null;null;null;senior2-level;False;False
linkedin;France;musicien;19;male;null;null;57.0;senior2-level;False;True
linkedin;France;musicien;20;male;null;null;36.0;senior2-level;False;False
linkedin;France;musicien;21;male;null;null;53.0;senior2-level;False;False
linkedin;France;musicien;22;male;null;null;null;entry-level;False;False
linkedin;France;musicien;23;male;null;null;42.0;senior2-level;False;False
linkedin;France;musicien;24;female;null;null;null;senior2-level;False;True
linkedin;France;pharmacien;0;female;null;null;37.0;senior2-level;False;False
linkedin;France;pharmacien;1;female;null;null;65.0;entry-level;False;True
linkedin;France;pharmacien;2;male;null;True;null;entry-level;False;True
linkedin;France;pharmacien;3;female;null;null;28.0;senior1-level;True;True
linkedin;France;pharmacien;4;male;null;null;null;mid-level;False;True
linkedin;France;pharmacien;5;male;null;null;null;senior2-level;False;False
linkedin;France;pharmacien;6;unknown;null;null;null;senior2-level;False;True
linkedin;France;pharmacien;7;male;null;null;58.0;senior2-level;False;True
linkedin;France;pharmacien;8;male;null;null;37.0;senior2-level;False;True
linkedin;France;pharmacien;9;unknown;null;null;36.0;senior2-level;False;False
linkedin;France;pharmacien;10;female;null;null;29.0;mid-level;False;False
linkedin;France;pharmacien;11;unknown;null;null;24.0;senior1-level;False;True
linkedin;France;pharmacien;12;female;null;null;null;senior2-level;False;True
linkedin;France;pharmacien;13;male;null;null;29.0;entry-level;False;True
linkedin;France;pharmacien;14;male;null;null;null;senior1-level;False;False
linkedin;France;pharmacien;15;unknown;null;null;26.0;senior1-level;False;True
linkedin;France;pharmacien;16;male;null;True;38.0;senior2-level;False;False
linkedin;France;pharmacien;17;female;null;null;null;senior2-level;False;True
linkedin;France;pharmacien;18;unknown;null;null;35.0;senior2-level;False;True
linkedin;France;pharmacien;19;female;null;null;28.0;mid-level;False;False
linkedin;France;pharmacien;20;female;null;True;18.0;senior1-level;False;True
linkedin;France;pharmacien;21;male;null;True;null;mid-level;False;True
linkedin;France;pharmacien;22;female;null;null;57.0;senior2-level;False;False
linkedin;France;pharmacien;23;female;null;True;null;senior1-level;False;True
linkedin;France;pharmacien;24;male;null;True;36.0;senior1-level;False;False
linkedin;France;photographe;0;female;null;null;41.0;senior2-level;False;False
linkedin;France;photographe;1;male;null;null;null;senior2-level;False;True
linkedin;France;photographe;2;female;null;null;null;entry-level;False;True
linkedin;France;photographe;3;male;null;False;28.0;senior2-level;False;False
linkedin;France;photographe;4;unknown;null;True;47.0;senior2-level;False;True
linkedin;France;photographe;5;female;null;null;45.0;senior2-level;False;False
linkedin;France;photographe;6;male;null;null;null;senior2-level;False;True
linkedin;France;photographe;7;unknown;null;True;null;senior2-level;False;True
linkedin;France;photographe;8;male;null;null;25.0;senior2-level;False;False
linkedin;France;photographe;9;female;null;True;null;mid-level;False;True
linkedin;France;photographe;10;male;null;True;null;senior2-level;False;True
linkedin;France;photographe;11;unknown;null;null;null;senior2-level;False;True
linkedin;France;photographe;12;male;null;null;null;mid-level;False;True
linkedin;France;photographe;13;female;null;null;50.0;senior1-level;False;True
linkedin;France;photographe;14;unknown;null;False;39.0;mid-level;False;False
linkedin;France;photographe;15;female;null;null;28.0;mid-level;False;True
linkedin;France;photographe;16;female;null;null;null;mid-level;False;False
linkedin;France;photographe;17;female;null;True;34.0;senior2-level;False;True
linkedin;France;photographe;18;female;null;null;28.0;mid-level;False;False
linkedin;France;photographe;19;male;null;null;null;senior2-level;False;True
linkedin;France;photographe;20;male;null;null;69.0;senior2-level;False;True
linkedin;France;photographe;21;female;null;False;33.0;senior2-level;False;True
linkedin;France;photographe;22;male;null;True;null;senior2-level;False;True
linkedin;France;photographe;23;male;null;True;null;senior2-level;False;False
linkedin;France;photographe;24;female;null;null;null;entry-level;False;False
linkedin;France;plombier;0;male;null;null;43.0;mid-level;False;True
linkedin;France;plombier;1;male;null;null;null;senior2-level;False;False
linkedin;France;plombier;2;male;null;null;null;senior2-level;False;True
linkedin;France;plombier;3;male;null;False;null;senior1-level;False;True
linkedin;France;plombier;4;unknown;null;True;null;entry-level;False;False
linkedin;France;plombier;5;unknown;null;False;36.0;senior2-level;False;True
linkedin;France;plombier;6;unknown;null;False;null;mid-level;False;True
linkedin;France;plombier;7;male;null;null;null;senior2-level;False;True
linkedin;France;plombier;8;male;null;True;26.0;senior1-level;False;True
linkedin;France;plombier;9;unknown;null;True;31.0;senior1-level;False;False
linkedin;France;plombier;10;male;null;True;null;senior2-level;False;True
linkedin;France;plombier;11;unknown;null;null;22.0;entry-level;False;True
linkedin;France;plombier;12;male;null;null;25.0;mid-level;False;False
linkedin;France;plombier;13;unknown;null;False;null;entry-level;False;False
linkedin;France;plombier;14;male;null;null;null;entry-level;False;True
linkedin;France;plombier;15;unknown;null;False;null;mid-level;False;False
linkedin;France;plombier;16;male;null;True;null;senior1-level;False;False
linkedin;France;plombier;17;male;null;True;21.0;senior1-level;False;False
linkedin;France;plombier;18;male;null;null;null;entry-level;False;True
